City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Havelock,US,82.35,clear sky,34.8791,-76.9013,Sherwood Motel
414,Kuala Lipis,MY,83.89,broken clouds,4.1842,102.0468,Lipis Centrepoint Hotel
416,Burriana,ES,79.66,clear sky,39.889,-0.085,Hotel Beatriz
419,Tessalit,ML,86.83,overcast clouds,20.1986,1.0114,
420,Hay River,CA,80.58,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
421,Mareeba,AU,75.49,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
422,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
424,Lazaro Cardenas,MX,80.44,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
426,Porto De Moz,BR,77.7,overcast clouds,-1.7483,-52.2383,Dormitório labelle
427,Sorong,ID,81.77,broken clouds,-0.8833,131.25,Waigo Splash Hotel
428,Elat,IL,78.71,clear sky,29.5581,34.9482,Club Hotel Eilat
432,Tongren,CN,77.79,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
433,Manggar,ID,84.42,scattered clouds,-2.8833,108.2667,Guest Hotel
441,Vieques,PR,83.1,clear sky,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
442,Miramar,US,85.01,clear sky,25.9873,-80.2323,Stadium Hotel
443,Dawei,MM,82.78,scattered clouds,14.0833,98.2,Hotel Dawei
445,Zeya,RU,80.76,light rain,53.75,127.2667,Kapital Inn
446,Santa Marta,CO,84.25,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
449,Annau,TM,80.1,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
451,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
452,Susanville,US,89.91,clear sky,40.4163,-120.653,Comfort Inn & Suites
453,Fonte Boa,BR,77.86,broken clouds,-2.4959,-66.2662,
464,Solana Beach,US,87.78,broken clouds,32.9912,-117.2711,Hilton San Diego/Del Mar
465,Fengcheng,CN,76.8,overcast clouds,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
466,Mashhad,IR,75.34,clear sky,36.297,59.6062,Khanye Sabz Hotel
467,Abdanan,IR,84.56,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
