City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Geraldton,AU,2022-07-18 00:11:29,-28.7667,114.6,54.01,94,10,10.36
160,Boende,CD,2022-07-18 00:11:30,-0.2167,20.8667,72.7,94,100,2.59
161,Coahuayana,MX,2022-07-18 00:11:30,18.7333,-103.6833,80.76,86,90,3.58
162,Papayal,PE,2022-07-18 00:11:31,-4.0761,-80.7361,71.31,66,19,2.73
163,Bluff,NZ,2022-07-18 00:10:39,-46.6,168.3333,54.81,64,97,24.9
164,Alta,NO,2022-07-18 00:11:31,69.9689,23.2717,52.86,83,100,10.36
165,Nemuro,JP,2022-07-18 00:11:32,43.3236,145.575,63.79,98,99,9.84
166,Tura,IN,2022-07-18 00:11:32,25.5198,90.2201,75.29,93,98,4.25
167,Tiznit,MA,2022-07-18 00:11:33,29.5833,-9.5,75.74,58,28,1.12
168,Cairns,AU,2022-07-18 00:11:33,-16.9167,145.7667,77.11,72,41,9.22
169,Visnes,NO,2022-07-18 00:11:33,59.3556,5.2242,59.22,100,100,10.36
170,Leningradskiy,RU,2022-07-18 00:11:34,69.3833,178.4167,32.49,97,91,25.19
171,Pedasi,PA,2022-07-18 00:11:34,7.5333,-80.0333,80.06,79,100,2.93
172,Lompoc,US,2022-07-18 00:11:35,34.6391,-120.4579,77.85,66,0,17.27
173,Redmond,US,2022-07-18 00:10:58,47.674,-122.1215,70.57,59,90,1.01
174,Daru,PG,2022-07-18 00:10:08,-9.0763,143.2092,79.63,80,90,9.93
175,Esperance,AU,2022-07-18 00:11:36,-33.8667,121.9,54.03,90,100,18.57
176,Lengshuitan,CN,2022-07-18 00:11:36,26.4111,111.5956,78.64,94,100,3.87
177,Vila,PT,2022-07-18 00:11:36,42.0304,-8.1588,62.71,74,18,3.2
178,Mayo,US,2022-07-18 00:11:37,38.8876,-76.5119,84.31,70,20,6.91
179,Ribeira Grande,PT,2022-07-18 00:11:37,38.5167,-28.7,71.91,92,6,6.2
180,Bac Lieu,VN,2022-07-18 00:11:38,9.285,105.7244,79.56,86,58,7.92
181,Razole,IN,2022-07-18 00:11:38,16.4833,81.8333,77.25,91,100,7.45
182,Oga,IT,2022-07-18 00:12:39,46.4631,10.347,60.8,79,0,1.86
183,Tongling,CN,2022-07-18 00:12:39,30.95,117.7833,80.01,90,99,3.78
184,Nanortalik,GL,2022-07-18 00:12:39,60.1432,-45.2371,41.95,91,72,11.03
185,Zastron,ZA,2022-07-18 00:12:40,-30.3023,27.084,42.85,41,0,3.98
186,Komsomolskiy,UZ,2022-07-18 00:12:40,40.4272,71.7189,77.72,33,0,9.22
187,Meadow Lake,US,2022-07-18 00:12:41,34.8014,-106.5436,99.07,18,41,12.73
188,Willowmore,ZA,2022-07-18 00:12:41,-33.2926,23.4895,53.49,51,0,4.32
189,Avarua,CK,2022-07-18 00:12:42,-21.2078,-159.775,73.45,78,100,9.22
190,Entre Rios,BR,2022-07-18 00:12:42,-11.9419,-38.0844,66.04,96,0,2.33
191,Howard Springs,AU,2022-07-18 00:12:43,-12.497,131.047,73.87,66,93,5.97
192,Leshukonskoye,RU,2022-07-18 00:12:43,64.8989,45.7622,58.23,75,96,2.39
193,Kodiak,US,2022-07-18 00:12:43,57.79,-152.4072,60.31,63,100,4.61
194,Marsh Harbour,BS,2022-07-18 00:12:44,26.5412,-77.0636,82.24,78,85,13.42
195,Catuday,PH,2022-07-18 00:12:44,16.2923,119.8062,80.55,75,92,5.5
196,Skreia,NO,2022-07-18 00:09:20,60.65,10.9333,52.34,79,54,3.83
197,Bethel,US,2022-07-18 00:12:45,41.3712,-73.414,78.76,78,100,3.4
198,Srednekolymsk,RU,2022-07-18 00:12:45,67.45,153.6833,58.51,39,9,10.0
199,Aloleng,PH,2022-07-18 00:12:46,16.1307,119.7824,81.84,74,76,4.36
200,Byron Bay,AU,2022-07-18 00:12:46,-28.65,153.6167,67.71,55,29,4.18
201,Loiza,PR,2022-07-18 00:12:47,18.4313,-65.8802,83.07,81,40,14.97
202,Lavrentiya,RU,2022-07-18 00:12:47,65.5833,-171.0,44.06,91,100,14.58
203,Sorong,ID,2022-07-18 00:12:47,-0.8833,131.25,78.67,83,100,4.7
204,Castro,BR,2022-07-18 00:10:35,-24.7911,-50.0119,60.19,96,100,3.44
205,Victoria,HK,2022-07-18 00:11:40,22.2855,114.1577,87.85,83,100,10.0
206,Eyl,SO,2022-07-18 00:12:48,7.9803,49.8164,78.22,61,59,31.94
207,Ilulissat,GL,2022-07-18 00:12:49,69.2167,-51.1,51.82,50,23,6.91
208,Kinablangan,PH,2022-07-18 00:12:49,7.6947,126.5503,79.3,83,98,1.97
209,Lac Du Bonnet,CA,2022-07-18 00:12:50,50.2536,-96.0612,87.04,61,1,7.36
210,Grindavik,IS,2022-07-18 00:12:50,63.8424,-22.4338,48.67,93,100,5.75
211,Khatanga,RU,2022-07-18 00:12:51,71.9667,102.5,59.95,59,100,4.07
212,Kahului,US,2022-07-18 00:12:51,20.8947,-156.47,86.97,63,0,25.32
213,Walvis Bay,NA,2022-07-18 00:12:52,-22.9575,14.5053,70.7,28,14,7.07
214,Vaitape,PF,2022-07-18 00:12:52,-16.5167,-151.75,77.04,70,84,15.84
215,Senador Jose Porfirio,BR,2022-07-18 00:12:52,-2.5908,-51.9542,80.26,74,95,3.74
216,Flinders,AU,2022-07-18 00:12:53,-34.5833,150.8552,56.17,52,4,11.01
217,Egvekinot,RU,2022-07-18 00:12:53,66.3167,-179.1667,40.12,39,54,30.82
218,Urdoma,RU,2022-07-18 00:12:54,61.7533,48.5442,57.78,69,83,1.66
219,Laguna,US,2022-07-18 00:12:54,38.421,-121.4238,107.76,16,0,14.97
220,The Valley,AI,2022-07-18 00:12:55,18.217,-63.0578,82.09,78,9,18.41
221,Yanam,IN,2022-07-18 00:12:55,16.7333,82.2167,76.91,92,100,7.05
222,Maceio,BR,2022-07-18 00:12:55,-9.6658,-35.7353,75.07,76,6,7.18
223,Marawi,PH,2022-07-18 00:12:56,7.9986,124.2928,73.09,89,100,2.19
224,Dzaoudzi,YT,2022-07-18 00:12:56,-12.7887,45.2699,71.49,94,20,6.91
225,Norfolk,US,2022-07-18 00:12:57,42.1668,-71.2495,82.92,66,0,5.75
226,Mayna,RU,2022-07-18 00:12:57,54.1135,47.6231,60.75,90,14,4.81
227,Dingle,PH,2022-07-18 00:12:58,10.9995,122.6711,75.78,93,100,2.35
228,Paamiut,GL,2022-07-18 00:12:58,61.994,-49.6678,43.21,86,100,2.42
229,Ayr,GB,2022-07-18 00:12:37,55.4627,-4.6339,63.32,82,0,3.44
230,Bonavista,CA,2022-07-18 00:12:59,48.6499,-53.1147,61.18,81,88,15.7
231,Amapa,BR,2022-07-18 00:13:59,1.0,-52.0,72.75,97,79,3.11
232,Luena,AO,2022-07-18 00:14:00,-11.7833,19.9167,49.75,54,19,4.94
233,Madison,US,2022-07-18 00:10:44,34.7334,-86.5667,90.75,56,0,5.99
234,Kissidougou,GN,2022-07-18 00:14:00,9.1848,-10.0999,70.16,98,99,7.11
235,Sakakah,SA,2022-07-18 00:14:01,29.9697,40.2064,88.12,17,13,4.81
236,Bilibino,RU,2022-07-18 00:14:01,68.0546,166.4372,37.44,59,99,22.68
237,Abu Zabad,SD,2022-07-18 00:14:01,12.35,29.25,78.01,74,96,6.44
238,Sola,VU,2022-07-18 00:14:02,-13.8833,167.55,80.87,78,75,20.58
239,Urengoy,RU,2022-07-18 00:14:02,65.9667,78.3667,57.42,70,87,10.63
240,Pevek,RU,2022-07-18 00:11:15,69.7008,170.3133,32.18,91,100,28.54
241,Jati,PK,2022-07-18 00:14:03,24.3539,68.2671,81.64,85,23,10.27
242,Sun Valley,US,2022-07-18 00:13:17,39.5963,-119.776,97.05,19,20,21.85
243,Ebolowa,CM,2022-07-18 00:14:04,2.9,11.15,66.83,100,98,2.33
244,Chitral,PK,2022-07-18 00:14:04,35.8462,71.7858,74.93,81,1,1.86
245,Namatanai,PG,2022-07-18 00:14:05,-3.6667,152.4333,84.52,68,82,9.42
246,Abay,KZ,2022-07-18 00:14:05,49.6311,72.8539,52.18,64,2,5.79
247,Harer,ET,2022-07-18 00:14:06,9.3094,42.1258,58.82,82,76,10.38
248,Ayan,RU,2022-07-18 00:11:49,56.45,138.1667,58.6,89,100,9.53
249,Sobolevo,RU,2022-07-18 00:14:06,54.4299,31.8996,51.1,93,14,6.35
250,New Kensington,US,2022-07-18 00:14:07,40.5698,-79.7648,72.21,85,100,1.19
251,Baley,RU,2022-07-18 00:12:16,51.6,116.6333,62.87,88,100,1.7
252,Dagda,LV,2022-07-18 00:14:08,56.0951,27.5372,47.35,97,80,5.26
253,Poum,NC,2022-07-18 00:14:08,-20.2333,164.0167,75.96,70,42,17.63
254,Codrington,AU,2022-07-18 00:13:11,-38.2667,141.9667,49.06,69,99,13.67
255,Raudeberg,NO,2022-07-18 00:14:09,61.9875,5.1352,56.07,87,86,20.69
256,Piacabucu,BR,2022-07-18 00:14:09,-10.4056,-36.4344,72.72,77,25,5.95
257,Bodden Town,KY,2022-07-18 00:14:10,19.2833,-81.25,84.99,73,92,4.0
258,Kyshtovka,RU,2022-07-18 00:14:10,56.555,76.6271,53.08,92,5,7.31
259,Coquimbo,CL,2022-07-18 00:14:10,-29.9533,-71.3436,53.33,82,0,3.44
